"","subID","condition","Hz","frontal","central","parietal","occipital","ln_Hz","ln_frontal","ln_central","ln_parietal","ln_occipital"
"289","ya06","ya06",3.988,2.74218,4.04186666666667,3.57408,3.6885,1.38328985209959,1.00875322449977,1.3967066314672,1.27370780037032,1.30521987134222
"290","ya06","ya06",4.985,1.84384,2.58026666666667,2.00812,2.15586666666667,1.6064334034138,0.611850353473972,0.947892752765461,0.697198961000043,0.768192808215413
"291","ya07","ya07",0.997,90.72256,63.9920666666667,53.08438,47.0299333333333,-0.00300450902029872,4.50780605827619,4.15875911734287,3.97188272301521,3.85078427842104
"292","ya07","ya07",1.994,18.39614,13.8803666666667,12.92414,8.61213333333333,0.690142671539647,2.9121408599988,2.63047537163656,2.55909688046316,2.15317206165507
"293","ya07","ya07",2.991,5.88214,6.3411,6.12848,4.02436666666667,1.09560777964781,1.77192064127664,1.84705225497676,1.81294675835246,1.39236754859325
"294","ya07","ya07",3.988,3.11424,3.65706666666667,3.12184,2.05256666666667,1.38328985209959,1.13598514173291,1.29666136887985,1.13842257158072,0.719091042531535
"295","ya07","ya07",4.985,2.2104,2.43163333333333,2.20652,1.4763,1.6064334034138,0.79317349462707,0.888563185193492,0.791416613815097,0.389538957557905
"296","ya07","ya07",0.997,51.8256,62.2922666666667,58.10768,45.5148666666667,-0.00300450902029872,3.94788423567885,4.13183728753748,4.06229784100848,3.81803901251578
"297","ya07","ya07",1.994,10.1882,11.2168,11.62776,9.28156666666667,0.690142671539647,2.32123018786289,2.41741265442478,2.45339534264874,2.22803035438839
"298","ya07","ya07",2.991,3.65182,4.81033333333333,4.99232,3.81186666666667,1.09560777964781,1.29522567345669,1.57076638178583,1.60790073157675,1.33811900791546
"299","ya07","ya07",3.988,2.1052,2.65766666666667,2.22536,1.6399,1.38328985209959,0.744410474497487,0.977448544852249,0.799918700283168,0.494635264367263
"300","ya07","ya07",4.985,1.4849,1.8048,1.50924,1.3209,1.6064334034138,0.395347429919879,0.590449782321603,0.411606212864927,0.278313322447681
"301","ya08","ya08",0.997,148.53446,102.749733333333,78.6427,56.6881333333333,-0.00300450902029872,5.00081698519447,4.63229625807695,4.36491480892196,4.03756490017605
"302","ya08","ya08",1.994,37.82496,20.3162666666667,12.66688,10.7008,0.690142671539647,3.63296920217221,3.01142187879628,2.53899071302171,2.37031850502814
"303","ya08","ya08",2.991,10.14458,6.6535,4.94664,5.0874,1.09560777964781,2.3169395727165,1.89514303200166,1.59870855822101,1.62676689455588
"304","ya08","ya08",3.988,5.7258,4.0396,3.07508,3.2751,1.38328985209959,1.74498227766913,1.39614567717026,1.12333091718023,1.1863484029722
"305","ya08","ya08",4.985,4.16806,2.93366666666667,2.40014,2.46706666666667,1.6064334034138,1.42745069974093,1.07625306272357,0.87552706898591,0.903029860557314
"306","ya08","ya08",0.997,173.2617,112.827366666667,69.76246,58.7608666666667,-0.00300450902029872,5.15480316825733,4.7258589219315,4.24509604274044,4.07347610045944
"307","ya08","ya08",1.994,23.1092,17.8024,12.673,11.6504666666667,0.690142671539647,3.14023080663821,2.87933327966977,2.53947374609993,2.45534623643405
"308","ya08","ya08",2.991,8.51242,8.30373333333333,5.93618,6.328,1.09560777964781,2.14152627348727,2.11670521287,1.78106582885547,1.84498423046535
"309","ya08","ya08",3.988,5.42872,5.5937,3.75376,3.8935,1.38328985209959,1.69170337871762,1.72164096445359,1.32275800431452,1.3593084960349
"310","ya08","ya08",4.985,3.94208,4.14416666666667,2.84004,2.78186666666667,1.6064334034138,1.37170850279147,1.42170172293865,1.04381813658097,1.02312216520198
"311","ya09","ya09",0.997,741.15454,105.9846,2193.0327,13981.5599,-0.00300450902029872,6.6082091595567,4.6632938005386,7.69304065938743,9.54549459039288
"312","ya09","ya09",1.994,48.37142,14.2384666666667,25.42246,137.373066666667,0.690142671539647,3.87890914344347,2.65594722228353,3.23563303527254,4.92270033922469
"313","ya09","ya09",2.991,7.65228,3.71933333333333,5.40684,18.3702333333333,1.09560777964781,2.03500364264927,1.31354444075523,1.68766481869146,2.91073160101536
"314","ya09","ya09",3.988,3.85492,1.8647,1.92472,10.1388333333333,1.38328985209959,1.34935025453018,0.623100182247911,0.654780502614755,2.31637293565931
"315","ya09","ya09",4.985,4.48308,2.24913333333333,2.87468,7.50236666666667,1.6064334034138,1.50031031020703,0.810544956828275,1.0559413637067,2.01521852632064
"316","ya09","ya09",0.997,398.69416,42.066,36.28144,223.3309,-0.00300450902029872,5.98819460667532,3.73923981345289,3.59130631574922,5.40865452813516
"317","ya09","ya09",1.994,30.21514,4.6503,3.8804,8.51316666666667,0.690142671539647,3.40834312326299,1.53693173364722,1.35593824110499,2.14161398461074
"318","ya09","ya09",2.991,4.08484,1.90353333333333,1.59378,2.0361,1.09560777964781,1.40728255985823,0.643711808288525,0.466108553276851,0.711036213395685
"319","ya09","ya09",3.988,2.49806,1.3794,1.09408,1.26323333333333,1.38328985209959,0.915514430630302,0.321648622015054,0.0899138274687994,0.233674571620426
"320","ya09","ya09",4.985,1.77424,1.4015,1.50718,2.2396,1.6064334034138,0.573372162222769,0.337543091622706,0.410240355112853,0.806297278492601
"321","ya10","ya10",0.997,57.31896,43.2577666666667,46.17234,54.8159666666667,-0.00300450902029872,4.04863145904101,3.76717679336393,3.8323809174958,4.00398151404656
"322","ya10","ya10",1.994,10.49408,10.5446666666667,12.24084,15.9513666666667,0.690142671539647,2.35081128863931,2.35562020287319,2.5047779021804,2.76954450999066
"323","ya10","ya10",2.991,5.05608,6.36143333333333,6.69978,7.906,1.09560777964781,1.62059147950419,1.85025371883704,1.90207469003692,2.06762196487449
"324","ya10","ya10",3.988,2.45048,2.92303333333333,3.10744,4.06763333333333,1.38328985209959,0.896283923734486,1.07262188987296,1.13379923609082,1.4030613397418
"325","ya10","ya10",4.985,2.06192,2.6646,2.45986,2.7105,1.6064334034138,0.723637587557944,0.980053952543975,0.900104437755698,0.997133119718256
"326","ya10","ya10",0.997,72.66966,49.6153,50.73022,70.8975,-0.00300450902029872,4.28592396593314,3.90429925390643,3.9265217882536,4.26123517198551
"327","ya10","ya10",1.994,21.41662,16.1806666666667,17.88872,21.1635666666667,0.690142671539647,3.06416725611652,2.78381711391296,2.88417034660989,3.05228114981179
"328","ya10","ya10",2.991,5.91262,6.27743333333333,6.58008,7.8743,1.09560777964781,1.77708904959518,1.83696119205428,1.88404690331803,2.06360429187196
"329","ya10","ya10",3.988,3.06894,3.5525,3.42774,3.54726666666667,1.38328985209959,1.12133222510436,1.26765158098912,1.23190115188475,1.26617735386959
"330","ya10","ya10",4.985,2.18752,2.52916666666667,2.2258,2.3029,1.6064334034138,0.78276848206498,0.927889867717507,0.800116401557188,0.834169198271833
"331","ya11","ya11",0.997,51.16392,29.2290333333333,31.3746,41.8834666666667,-0.00300450902029872,3.93503459613652,3.37516250753057,3.4459986483667,3.7348911587625
"332","ya11","ya11",1.994,11.17942,5.2412,9.03736,13.4782333333333,0.690142671539647,2.41407458802702,1.65655047974829,2.20136709635521,2.6010760385372
"333","ya11","ya11",2.991,3.55332,2.08793333333333,4.10402,6.14233333333333,1.09560777964781,1.26788237771733,0.736174741030463,1.41196698115094,1.81520469168461
"334","ya11","ya11",3.988,1.68702,1.24453333333333,2.35,3.33703333333333,1.38328985209959,0.522963658858109,0.218760626985359,0.854415328156068,1.20508218873143
